game_id,season,week,home_team,away_team,home_score,away_score,spread_close,total_close,home_prior_epa_sum,home_prior_plays,home_prior_epa_mean,home_rest_days,away_prior_epa_sum,away_prior_plays,away_prior_epa_mean,away_rest_days,epa_diff_prior,plays_diff_prior,rest_diff,home_margin,home_cover,is_push
2008_02_MIA_ARI,2008,2,ARI,MIA,31,10,6.5,40.5,-754.2868048342934,12156.0,-0.06205057624500604,7.0,-472.7023672251355,12400.0,-0.03812115864718835,7.0,-0.023929417597817693,-244.0,0.0,21,1.0,False
2008_05_BUF_ARI,2008,5,ARI,BUF,41,17,1.0,44.5,-730.3949622515236,12404.0,-0.058883824754234405,7.0,-420.93772036887736,12370.0,-0.03402891838066915,7.0,-0.024854906373565258,34.0,0.0,24,1.0,False
2008_06_DAL_ARI,2008,6,ARI,DAL,30,24,-4.5,53.0,-715.1377087204005,12500.0,-0.05721101669763204,7.0,-239.07408599245707,12722.0,-0.01879217780163945,7.0,-0.03841883889599259,-222.0,0.0,6,1.0,False
2008_10_SF_ARI,2008,10,ARI,SF,29,24,9.5,47.5,-700.7999290632529,12753.0,-0.05495177049033583,8.0,-307.72051841958626,12848.0,-0.023950849814724957,15.0,-0.031000920675610874,-95.0,-7.0,5,1.0,False
2008_12_NYG_ARI,2008,12,ARI,NYG,29,37,-3.0,48.0,-686.6116355678903,12926.0,-0.05311864734394943,7.0,-101.30688943672473,14093.0,-0.007188454511936758,7.0,-0.04593019283201267,-1167.0,0.0,-8,0.0,False
2008_14_STL_ARI,2008,14,ARI,STL,34,10,14.0,48.5,-679.8367930586913,13085.0,-0.051955429351065445,10.0,0.0,0.0,0.0,7.0,-0.051955429351065445,13085.0,3.0,24,1.0,False
2008_15_MIN_ARI,2008,15,ARI,MIN,14,35,4.0,46.5,-677.1416467824685,13157.0,-0.051466264861478185,7.0,39.50226129707935,13730.0,0.002877076569342997,7.0,-0.05434334143082118,-573.0,0.0,-21,0.0,False
2008_17_SEA_ARI,2008,17,ARI,SEA,34,21,7.0,47.0,-721.2640254539403,13310.0,-0.05418963376813977,7.0,223.01360521470843,14138.0,0.015774056105156913,7.0,-0.06996368987329668,-828.0,0.0,13,1.0,False
2008_18_ATL_ARI,2008,18,ARI,ATL,30,24,2.0,52.0,-711.7952566226995,13387.0,-0.05317063245108684,6.0,-502.4730462601574,13450.0,-0.0373585908000117,6.0,-0.015812041651075137,-63.0,0.0,6,1.0,False
2008_20_PHI_ARI,2008,20,ARI,PHI,32,25,-3.5,47.0,-713.0877746440942,13563.0,-0.05257596215026869,8.0,71.73889753117416,14664.0,0.004892177954935499,7.0,-0.057468140105204187,-1101.0,1.0,7,1.0,False
2008_21_PIT_ARI,2008,21,ARI,PIT,23,27,-6.5,46.5,-696.7436492461576,13642.0,-0.05107342392949403,14.0,162.884424498032,14616.0,0.011144254549673781,14.0,-0.062217678479167815,-974.0,0.0,-4,0.0,False
2009_01_SF_ARI,2009,1,ARI,SF,16,20,5.0,45.5,-692.1658857204337,13720.0,-0.05044940858020654,224.0,-299.958737217562,13499.0,-0.02222081170587169,259.0,-0.028228596874334846,221.0,-35.0,-4,1.0,False
2009_03_IND_ARI,2009,3,ARI,IND,10,31,3.0,49.0,-697.3880052788697,13895.0,-0.050189852844826896,7.0,1322.998495122999,14727.0,0.0898348947594893,6.0,-0.1400247476043162,-832.0,1.0,-21,0.0,False
2009_05_HOU_ARI,2009,5,ARI,HOU,28,21,5.5,50.5,-713.0416757075943,13986.0,-0.05098253079562379,14.0,-381.1686167456471,9298.0,-0.04099468883046323,7.0,-0.00998784196516056,4688.0,7.0,7,1.0,False
2009_08_CAR_ARI,2009,8,ARI,CAR,21,34,10.0,43.5,-718.0926239541686,14240.0,-0.05042785280577027,7.0,-368.7625420863312,14304.0,-0.025780379060845304,7.0,-0.02464747374492497,-64.0,0.0,-13,0.0,False
2009_10_SEA_ARI,2009,10,ARI,SEA,31,20,9.0,46.5,-708.4364111598034,14409.0,-0.04916624409464941,7.0,191.21569135104494,14917.0,0.012818642579006834,7.0,-0.061984886673656245,-508.0,0.0,11,1.0,False
2009_13_MIN_ARI,2009,13,ARI,MIN,30,17,-3.5,48.0,-678.7258766894756,14653.0,-0.04631992606902857,7.0,102.21486242760277,15025.0,0.006802985852086707,7.0,-0.053122911921115276,-372.0,0.0,13,1.0,False
2009_16_STL_ARI,2009,16,ARI,STL,31,10,16.0,44.0,-692.6204676263001,14886.0,-0.04652831302071074,7.0,0.0,0.0,0.0,7.0,-0.04652831302071074,14886.0,0.0,21,1.0,False
2009_17_GB_ARI,2009,17,ARI,GB,7,33,3.0,42.0,-684.2514199301652,14979.0,-0.04568071432873791,7.0,423.11859660139584,15504.0,0.027290931153340806,7.0,-0.07297164548207871,-525.0,0.0,-26,0.0,False
2009_18_GB_ARI,2009,18,ARI,GB,51,45,-2.5,48.0,-703.2022252420677,15038.0,-0.04676168541309135,7.0,434.2166234550757,15585.0,0.027861188543796964,7.0,-0.07462287395688831,-547.0,0.0,6,1.0,False
2010_03_OAK_ARI,2010,3,ARI,OAK,24,23,5.5,38.5,-727.3732994976333,15336.0,-0.04742914055148887,7.0,0.0,0.0,0.0,7.0,-0.04742914055148887,15336.0,0.0,1,1.0,False
