game_id,season,week,spread_close,total_close,home_score,away_score,home_epa_mean,away_epa_mean,epa_gap,market_prob,p_hat,edge,action,r,b_prob,pi_prob
2022_09_TEN_KC,2022,9,14.0,45.0,20,17,,,0.0,0.8461898356629042,0.8781689565352333,0.031979120872329125,0,0.0,0.05,0.05
2022_09_BAL_NO,2022,9,-1.0,46.0,13,27,,,0.0,0.46007229707525465,0.447929657411717,-0.01214263966353768,0,-0.0,0.5168348084911256,0.525733799796727
2022_10_ATL_CAR,2022,10,-2.5,41.5,25,15,,,0.0,0.44522913947954246,0.4025537488208531,-0.04267539065868936,0,0.0,0.4716381219938041,0.4654686814751192
2022_10_SEA_TB,2022,10,2.5,45.0,21,16,,,0.0,0.5649948822927329,0.5759221460745265,0.01092726378179365,1,0.9099999999999999,0.5513908920849496,0.5718406206341953
2022_10_MIN_BUF,2022,10,6.5,47.0,30,33,,,0.0,0.7053108808290155,0.7052537290792646,-5.715174975085002e-05,0,0.0,0.5349188483058184,0.5498856965024895
2022_10_DET_CHI,2022,10,3.0,48.5,30,31,,,0.0,0.5986798270759409,0.58753913894835,-0.011140688127590948,0,0.0,0.5183314172218788,0.527733361113168
2022_10_JAX_KC,2022,10,10.0,51.5,27,17,,,0.0,0.7758985390740433,0.7938885195120308,0.017989980437987496,0,0.0,0.05,0.05
2022_10_CLE_MIA,2022,10,3.0,49.0,39,17,,,0.0,0.6224409126843496,0.586679423164563,-0.03576148951978664,0,0.0,0.4817857733172067,0.47896089875745246
2022_10_HOU_NYG,2022,10,5.5,41.5,24,16,,,0.0,0.6700755434503316,0.6827223495807824,0.012646806130450772,1,0.9099999999999999,0.5539701257568941,0.5752720583052913
2022_10_NO_PIT,2022,10,1.0,39.5,20,10,,,0.0,0.5240193918025562,0.5317950430440354,0.0077756512414791645,1,0.9099999999999999,0.5466635263859575,0.5655462897908913
2022_10_DEN_TEN,2022,10,2.5,40.0,17,10,,,0.0,0.5605012156349355,0.5845598264979271,0.02405861086299166,1,0.9099999999999999,0.5710754214502395,0.5979692309669824
2022_10_IND_LV,2022,10,4.5,41.0,20,25,,,0.0,0.648330451760112,0.6512899527400581,0.002959500979946128,1,-1.0,0.5394408216351252,0.5559187254823603
2022_10_DAL_GB,2022,10,-3.5,44.5,31,28,,,0.0,0.35166954823988805,0.363256413280238,0.011586865040349947,1,-1.0,0.5523802795789158,0.5731571512623865
2022_10_ARI_LA,2022,10,3.5,38.0,17,27,,,0.0,0.6270426989984186,0.622659036165927,-0.004383662832491586,0,-0.0,0.528437887031185,0.5412335727701871
2022_10_LAC_SF,2022,10,8.5,45.5,22,16,,,0.0,0.7584745314828713,0.7637534291618715,0.0052788976790002495,0,0.0,0.05,0.05
2022_10_WAS_PHI,2022,10,11.0,43.0,21,32,,,0.0,0.808051612079015,0.8254849191488807,0.017433307069865678,0,-0.0,0.05,0.05
